Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 24, 2019","1,259.11","1,259.11","1,262.90","1,252.35",1.01M
"Oct 23, 2019","1,257.63","1,240.21","1,258.04","1,240.21",1.18M
"Oct 22, 2019","1,241.20","1,244.48","1,248.73","1,239.85",1.28M
"Oct 21, 2019","1,244.28","1,248.70","1,253.51","1,239.99",1.03M
"Oct 18, 2019","1,244.41","1,254.69","1,258.11","1,240.14",1.58M
"Oct 17, 2019","1,252.80","1,251.40","1,263.75","1,249.87",1.06M
"Oct 16, 2019","1,243.00","1,241.81","1,254.19","1,238.53",1.15M
"Oct 15, 2019","1,242.24","1,221.50","1,247.12","1,220.92",1.53M
"Oct 14, 2019","1,217.77","1,213.89","1,225.88","1,211.88",683.93K
"Oct 11, 2019","1,215.71","1,224.03","1,228.75","1,213.64",1.13M
"Oct 10, 2019","1,209.47","1,198.60","1,215.62","1,197.86",668.24K
"Oct 09, 2019","1,202.40","1,201.33","1,208.46","1,198.12",813.22K
"Oct 08, 2019","1,190.13","1,198.77","1,206.87","1,189.48",1.03M
"Oct 07, 2019","1,208.25","1,207.00","1,218.91","1,204.36",879.02K
"Oct 04, 2019","1,210.96","1,194.29","1,212.46","1,190.97",1.23M
"Oct 03, 2019","1,189.43","1,183.34","1,191.00","1,163.14",1.47M
"Oct 02, 2019","1,177.92","1,196.50","1,198.76","1,172.63",1.67M
"Oct 01, 2019","1,206.00","1,222.49","1,232.86","1,205.55",1.28M
"Sep 30, 2019","1,221.14","1,220.60","1,227.40","1,213.42",1.29M
"Sep 27, 2019","1,225.95","1,242.83","1,244.99","1,215.20",1.72M
"Sep 26, 2019","1,242.29","1,242.14","1,244.67","1,231.82",1.17M
"Sep 25, 2019","1,245.94","1,216.01","1,248.02","1,209.20",1.36M
"Sep 24, 2019","1,218.33","1,240.00","1,247.11","1,210.64",1.84M
"Sep 23, 2019","1,234.69","1,226.57","1,239.68","1,223.78",1.20M
"Sep 20, 2019","1,229.84","1,233.64","1,242.80","1,223.58",1.94M
"Sep 19, 2019","1,238.75","1,232.32","1,244.34","1,232.31",847.00K
"Sep 18, 2019","1,232.65","1,230.24","1,236.24","1,216.47",892.79K
"Sep 17, 2019","1,229.88","1,231.63","1,235.00","1,223.35",1.05M
"Sep 16, 2019","1,231.63","1,230.44","1,239.02","1,225.19",1.41M
"Sep 13, 2019","1,240.03","1,232.11","1,241.05","1,227.08",1.18M
"Sep 12, 2019","1,234.97","1,223.47","1,242.41","1,222.56",1.58M
"Sep 11, 2019","1,220.00","1,203.89","1,222.47","1,202.28",1.18M
"Sep 10, 2019","1,205.70","1,196.09","1,210.00","1,196.01",1.40M
"Sep 09, 2019","1,205.27","1,207.08","1,220.55","1,193.17",1.59M
"Sep 06, 2019","1,206.32","1,209.14","1,212.94","1,203.26",948.58K
"Sep 05, 2019","1,212.19","1,193.66","1,214.00","1,192.69",1.32M
"Sep 04, 2019","1,182.27","1,179.45","1,184.88","1,171.53",1.07M
"Sep 03, 2019","1,169.55","1,181.85","1,189.08","1,163.71",1.30M
"Aug 30, 2019","1,190.53","1,200.35","1,200.35","1,185.72",903.38K
"Aug 29, 2019","1,194.24","1,186.42","1,199.19","1,185.28",982.10K
"Aug 28, 2019","1,173.75","1,164.87","1,178.50","1,160.25",840.83K
"Aug 27, 2019","1,170.82","1,183.00","1,185.00","1,164.56",1.17M
"Aug 26, 2019","1,171.18","1,159.45","1,171.86","1,154.85",1.06M
"Aug 23, 2019","1,153.58","1,185.17","1,195.67","1,150.00",1.81M
"Aug 22, 2019","1,191.52","1,193.80","1,198.78","1,178.91",867.92K
"Aug 21, 2019","1,191.58","1,195.82","1,200.56","1,187.92",708.27K
"Aug 20, 2019","1,183.53","1,195.35","1,198.00","1,183.05",1.01M
"Aug 19, 2019","1,200.44","1,191.83","1,209.39","1,190.40",1.22M
"Aug 16, 2019","1,179.21","1,180.79","1,183.84","1,173.00",1.27M
"Aug 15, 2019","1,169.32","1,168.43","1,176.42","1,163.00",1.43M
"Aug 14, 2019","1,164.25","1,176.07","1,182.79","1,161.07",1.77M
"Aug 13, 2019","1,196.73","1,174.35","1,205.43","1,172.99",1.43M
"Aug 12, 2019","1,174.50","1,180.00","1,185.61","1,168.72",1.10M
"Aug 09, 2019","1,188.90","1,199.99","1,204.46","1,184.89",1.02M
"Aug 08, 2019","1,206.19","1,186.43","1,206.28","1,174.00",1.51M
"Aug 07, 2019","1,175.91","1,157.80","1,179.87","1,150.84",1.53M
"Aug 06, 2019","1,171.08","1,165.52","1,181.40","1,161.53",1.80M
"Aug 05, 2019","1,154.75","1,172.97","1,176.88","1,142.75",2.39M
"Aug 02, 2019","1,196.32","1,203.00","1,209.50","1,190.00",1.75M
"Aug 01, 2019","1,211.78","1,217.63","1,236.30","1,207.00",1.77M
"Jul 31, 2019","1,218.20","1,224.87","1,234.91","1,208.18",2.00M
"Jul 30, 2019","1,228.00","1,227.00","1,236.91","1,225.32",1.43M
"Jul 29, 2019","1,241.84","1,242.50","1,248.99","1,230.20",2.07M
